namespacedId	categories
minecraft:beacon	minecraft:mineable/pickaxe
minecraft:black_stained_glass	minecraft:mineable/pickaxe
minecraft:black_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:blue_stained_glass	minecraft:mineable/pickaxe
minecraft:blue_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:brown_stained_glass	minecraft:mineable/pickaxe
minecraft:brown_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:cactus	minecraft:mineable/hoe
minecraft:chiseled_bookshelf	minecraft:enchantment_power_provider
minecraft:creeper_head	minecraft:mineable/axe
minecraft:creeper_wall_head	minecraft:mineable/axe
minecraft:cyan_stained_glass	minecraft:mineable/pickaxe
minecraft:cyan_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:dragon_head	minecraft:mineable/axe
minecraft:dragon_wall_head	minecraft:mineable/axe
minecraft:glass	minecraft:mineable/pickaxe
minecraft:glass_pane	minecraft:mineable/pickaxe
minecraft:glowstone	minecraft:mineable/pickaxe
minecraft:gray_stained_glass	minecraft:mineable/pickaxe
minecraft:gray_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:green_stained_glass	minecraft:mineable/pickaxe
minecraft:green_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:light_blue_stained_glass	minecraft:mineable/pickaxe
minecraft:light_blue_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:light_gray_stained_glass	minecraft:mineable/pickaxe
minecraft:light_gray_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:lime_stained_glass	minecraft:mineable/pickaxe
minecraft:lime_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:magenta_stained_glass	minecraft:mineable/pickaxe
minecraft:magenta_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:ochre_froglight	minecraft:mineable/hoe
minecraft:orange_stained_glass	minecraft:mineable/pickaxe
minecraft:orange_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:pearlescent_froglight	minecraft:mineable/hoe
minecraft:piglin_head	minecraft:mineable/axe
minecraft:piglin_wall_head	minecraft:mineable/axe
minecraft:pink_stained_glass	minecraft:mineable/pickaxe
minecraft:pink_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:player_head	minecraft:mineable/axe
minecraft:player_wall_head	minecraft:mineable/axe
minecraft:purple_stained_glass	minecraft:mineable/pickaxe
minecraft:purple_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:red_stained_glass	minecraft:mineable/pickaxe
minecraft:red_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:redstone_lamp	minecraft:mineable/pickaxe
minecraft:sea_lantern	minecraft:mineable/pickaxe
minecraft:skeleton_skull	minecraft:mineable/axe
minecraft:skeleton_wall_skull	minecraft:mineable/axe
minecraft:tinted_glass	minecraft:mineable/pickaxe
minecraft:verdant_froglight	minecraft:mineable/hoe
minecraft:white_stained_glass	minecraft:mineable/pickaxe
minecraft:white_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:wither_skeleton_skull	minecraft:mineable/axe
minecraft:wither_skeleton_wall_skull	minecraft:mineable/axe
minecraft:yellow_stained_glass	minecraft:mineable/pickaxe
minecraft:yellow_stained_glass_pane	minecraft:mineable/pickaxe
minecraft:zombie_head	minecraft:mineable/axe
minecraft:zombie_wall_head	minecraft:mineable/axe
techreborn:refined_iron_fence	minecraft:mineable/pickaxe
