namespacedId	categories
ad_astra:cheese	c:foods
adorn:glow_berry_tea	c:drinks,c:fruits
adorn:hot_chocolate	c:drinks
adorn:nether_wart_coffee	c:drinks
adorn:sweet_berry_juice	c:drinks,c:fruits
artifacts:eternal_steak	c:foods,c:cooked_meat
artifacts:everlasting_beef	c:foods,c:raw_meat
biomeswevegone:allium_oddion_soup	dehydration:hydrating_stew
biomeswevegone:baobab_fruit	c:fruits
biomeswevegone:blueberries	c:fruits
biomeswevegone:blueberry_pie	c:desserts
biomeswevegone:cooked_yucca_fruit	c:fruits
biomeswevegone:green_apple	c:fruits,unicopia:fresh_apples
biomeswevegone:green_apple_pie	c:desserts
biomeswevegone:yucca_fruit	c:fruits
cinderscapes:bramble_berries	c:fruits
clutter:cooked_chorus_echofin	c:foods,c:cooked_meat,c:cooked_fish
clutter:cooked_levitating_echofin	c:foods,c:cooked_meat,c:cooked_fish
clutter:cooked_venison	c:foods,c:cooked_meat
clutter:cooked_venison_ribs	c:foods,c:cooked_meat
clutter:raw_chorus_echofin	c:foods,c:raw_meat,c:raw_fish
clutter:raw_levitating_echofin	c:foods,c:raw_meat,c:raw_fish
clutter:raw_venison	c:foods,c:raw_meat
clutter:raw_venison_ribs	c:foods,c:raw_meat
convenientdecor:unbundled_hay_block	unicopia:forage/filling
create:bar_of_chocolate	c:foods,c:desserts
create:builders_tea	c:drinks
create:chocolate_glazed_berries	c:foods,c:fruits
create:honeyed_apple	c:foods,c:fruits
create:sweet_roll	c:foods,c:desserts
crittersandcompanions:koi_fish	c:foods,c:raw_meat,c:raw_fish
deeperdarker:bloom_berries	c:fruits
expandeddelight:apple_juice	c:drinks,c:fruits
expandeddelight:asparagus_and_bacon_cheesy	c:foods,c:cooked_meat
expandeddelight:asparagus_soup	c:foods
expandeddelight:asparagus_soup_creamy	c:foods
expandeddelight:baked_sweet_potato	c:foods,unicopia:baked_goods
expandeddelight:berry_sweet_roll	c:foods,c:desserts
expandeddelight:cheese_sandwich	c:foods
expandeddelight:cheese_slice	c:foods,c:desserts
expandeddelight:cheese_wheel	c:foods,c:desserts
expandeddelight:chocolate_cookie	c:foods,unicopia:baked_goods
expandeddelight:cinnamon_apples	c:foods,c:fruits
expandeddelight:cinnamon_rice	c:foods,c:grains
expandeddelight:glow_berry_jelly	c:foods,c:fruits
expandeddelight:glow_berry_jelly_sandwich	c:foods,c:fruits
expandeddelight:glow_berry_juice	c:foods,c:fruits
expandeddelight:glow_berry_sweet_roll	c:foods,c:desserts
expandeddelight:grilled_cheese	c:foods,unicopia:baked_goods
expandeddelight:mac_and_cheese	c:foods
expandeddelight:peanut	c:foods,c:grains
expandeddelight:peanut_butter_honey_sandwich	c:foods,c:candy
expandeddelight:peanut_butter_sandwich	c:foods
expandeddelight:peanut_honey_soup	c:foods
expandeddelight:peanut_salad	c:foods
expandeddelight:peperonata	c:foods
expandeddelight:snickerdoodle	c:foods,unicopia:baked_goods
expandeddelight:sugar_cookie	c:foods,unicopia:baked_goods
expandeddelight:sweet_berry_jelly	c:foods,c:fruits
expandeddelight:sweet_berry_jelly_sandwich	c:foods,c:fruits
expandeddelight:sweet_berry_juice	c:foods,c:fruits
expandeddelight:sweet_potato_salad	c:foods
expandeddelight:sweet_roll	c:foods,c:desserts
farmersdelight:apple_cider	c:drinks,c:fruits
farmersdelight:bacon	c:raw_meat
farmersdelight:beef_patty	c:cooked_meat
farmersdelight:cabbage_rolls	c:cooked_meat
farmersdelight:chicken_cuts	c:raw_meat
farmersdelight:cod_slice	c:raw_meat
farmersdelight:cooked_bacon	c:cooked_meat
farmersdelight:cooked_chicken_cuts	c:cooked_meat
farmersdelight:cooked_cod_slice	c:foods,c:cooked_meat,c:cooked_fish
farmersdelight:cooked_mutton_chops	c:cooked_meat
farmersdelight:cooked_rice	c:grains
farmersdelight:cooked_salmon_slice	c:foods,c:cooked_meat,c:cooked_fish
farmersdelight:dumplings	c:cooked_meat
farmersdelight:fried_egg	c:cooked_meat
farmersdelight:fried_rice	c:cooked_meat
farmersdelight:ham	c:raw_meat
farmersdelight:horse_feed	c:fruits
farmersdelight:hot_cocoa	c:drinks
farmersdelight:melon_popsicle	c:fruits
farmersdelight:milk_bottle	c:drinks
farmersdelight:minced_beef	c:raw_meat
farmersdelight:mutton_chops	c:raw_meat
farmersdelight:salmon_slice	c:raw_meat
farmersdelight:shepherds_pie	c:cooked_meat
farmersdelight:smoked_ham	c:cooked_meat
farmersdelight:stuffed_potato	c:cooked_meat
farmersdelight:tomato_sauce	c:fruits
fishofthieves:cooked_ancientscale	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_battlegill	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_devilfish	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_islehopper	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_plentifin	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_pondie	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_splashtail	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_stormfish	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_wildsplash	c:cooked_meat,c:cooked_fish
fishofthieves:cooked_wrecker	c:cooked_meat,c:cooked_fish
fishofthieves:earthworms	c:raw_insect
fishofthieves:grubs	c:raw_insect
fishofthieves:leeches	c:raw_insect
fishofthieves:ancientscale	c:raw_meat,c:raw_fish
fishofthieves:battlegill	c:raw_meat,c:raw_fish
fishofthieves:devilfish	c:raw_meat,c:raw_fish
fishofthieves:islehopper	c:raw_meat,c:raw_fish
fishofthieves:plentifin	c:raw_meat,c:raw_fish
fishofthieves:pondie	c:raw_meat,c:raw_fish
fishofthieves:splashtail	c:raw_meat,c:raw_fish
fishofthieves:stormfish	c:raw_meat,c:raw_fish
fishofthieves:wildsplash	c:raw_meat,c:raw_fish
fishofthieves:wrecker	c:raw_meat,c:raw_fish
kibe:cursed_kibe	c:foods,c:cooked_meat
kibe:diamond_kibe	c:foods,c:cooked_meat,c:foods/plated,c:foods/diamond
kibe:golden_kibe	c:foods,c:cooked_meat,c:foods/plated,c:foods/golden
kibe:kibe	c:foods,c:cooked_meat
magic_vibe_decorations:pumpkinmuffin	c:foods,unicopia:baked_goods
magic_vibe_decorations:pumpkin_soup	c:foods,dehydration:hydrating_stew
midashunger:baked_golden_potato	c:foods,c:foods/plated,c:foods/golden
midashunger:cooked_golden_beef	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:cooked_golden_chicken	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:cooked_golden_cod	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat,c:cooked_fish
midashunger:cooked_golden_mutton	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:cooked_golden_porkchop	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:cooked_golden_rabbit	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:cooked_golden_salmon	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat,c:cooked_fish
midashunger:dried_golden_kelp	c:foods,c:foods/plated,c:foods/golden
midashunger:enchanted_golden_carrot	c:foods,c:foods/plated,c:foods/golden
midashunger:golden_beetroot	c:foods,c:foods/plated,c:foods/golden
midashunger:golden_beetroot_soup	c:foods,c:foods/plated,c:foods/golden,dehydration:hydrating_stew
midashunger:golden_chorus_fruit	c:foods,c:foods/plated,c:foods/golden,c:fruits
midashunger:golden_pumpkin_pie	c:foods,c:foods/plated,c:foods/golden,unicopia:baked_goods
midashunger:golden_turtle_egg	c:foods,c:foods/plated,c:foods/golden,c:cooked_meat
midashunger:poisonous_golden_potato	c:foods,c:foods/plated,c:foods/golden
midashunger:sweet_golden_berries	c:foods,c:foods/plated,c:foods/golden,c:fruits
minecraft:beetroot_soup	dehydration:hydrating_stew
minecraft:enchanted_golden_apple	c:foods/plated,c:foods/golden
minecraft:golden_apple	c:foods/plated,c:foods/golden
minecraft:golden_carrot	c:foods/plated,c:foods/golden
netherdepthsupgrade:baked_blazefish_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_glowdine_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_lava_pufferfish_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_magmacubefish_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_obsidianfish_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_searing_cod_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:baked_soulsucker_stew	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:blazefish	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:bonefish	c:foods
netherdepthsupgrade:cooked_glowdine_slice	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:cooked_lava_pufferfish_slice	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:cooked_magmacubefish_slice	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:cooked_obsidianfish_slice	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:cooked_soulsucker_slice	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:eyeball_fish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:fortress_grouper	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:glowdine	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:grilled_blazefish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_glowdine	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_lava_pufferfish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_magmacubefish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_obsidianfish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_searing_cod	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:grilled_soulsucker	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:lava_pufferfish	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:magmacubefish	c:foods,c:cooked_meat,c:cooked_fish
netherdepthsupgrade:obsidianfish	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:searing_cod	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:warped_kelp_roll	c:foods,c:grains
netherdepthsupgrade:warped_kelp_roll_slice	c:foods,c:grains
netherdepthsupgrade:wither_bonefish	c:foods
netherdepthsupgrade:blazefish_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:glowdine_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:lava_pufferfish_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:magmacubefish_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:obsidianfish_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:searing_cod_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:soulsucker_roll	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:blazefish_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:glowdine_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:lava_pufferfish_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:magmacubefish_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:obsidianfish_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:searing_cod_slice	c:foods,c:raw_meat,c:raw_fish
netherdepthsupgrade:soulsucker_slice	c:foods,c:raw_meat,c:raw_fish
paradise_lost:amadrys_bread	c:foods,unicopia:baked_goods
paradise_lost:amadrys_bread_glazed	c:foods,unicopia:baked_goods
paradise_lost:amadrys_bushel	c:foods
paradise_lost:amadrys_noodles	c:foods,dehydration:hydrating_stew
paradise_lost:blackcurrant	c:foods,c:fruits
paradise_lost:moa_meat	c:foods,c:raw_meat
paradise_lost:moa_meat_cooked	c:foods,c:cooked_meat
paradise_lost:orange	c:foods,c:fruits
spawn:angler_fish	c:foods,c:raw_fish,c:raw_meat
spawn:cooked_tuna_chunk	c:foods,c:cooked_fish,c:cooked_meat
spawn:escargot	c:foods,c:cooked_insect
spawn:roasted_sunflower_seeds	c:foods,c:grains
spawn:tuna_chunk	c:foods,c:raw_fish,c:raw_meat
spawn:tuna_sandwich	c:foods,c:cooked_fish,c:cooked_meat
supplementaries:candy	c:foods,c:candy
supplementaries:flax_block	unicopia:forage/filling
tconstruct:bacon	c:foods,c:cooked_meat
tconstruct:jeweled_apple	c:foods,c:fruits,c:foods/plated,c:foods/diamond
twilightforest:cooked_meef	c:foods,c:raw_meat
twilightforest:cooked_venison	c:foods,c:cooked_meat
twilightforest:experiment_115	c:foods,unicopia:baked_goods
twilightforest:hydra_chop	c:foods,c:cooked_meat
twilightforest:meef_stroganoff	c:foods,c:cooked_meat
twilightforest:raw_meef	c:foods,c:raw_meat
twilightforest:raw_venison	c:foods,c:raw_meat
twilightforest:torchberries	c:foods,c:fruits
white_rabbit:pishsalver	c:drinks
white_rabbit:upelkuchen	c:foods,unicopia:baked_goods
wilderwild:baobab_nut	c:foods
wilderwild:cooked_crab_claw	c:foods,c:cooked_fish,c:cooked_meat
wilderwild:crab_claw	c:foods,c:raw_fish,c:raw_meat
wilderwild:peeled_prickly_pear	c:foods,c:fruits
wilderwild:prickly_pear	c:foods,c:fruits
wilderwild:scorched_eye	c:foods,c:raw_insect
wilderwild:split_coconut	c:foods,c:fruits
yungscavebiomes:prickly_peach	c:foods,c:fruits
